,feature,importance
0,below_poverty_line,0.3307852613013673
1,reporting__number_of_records,0.23178029834860145
2,active_days__allweek__day__callandtext,-0.13443295858815804
3,active_days__allweek__night__callandtext,-0.009948772447723075
4,active_days__weekend__allday__callandtext,-0.1673699015182454
5,active_days__weekend__day__callandtext,0.06358103361387346
6,number_of_contacts__allweek__allday__text,-0.21500220813097165
7,number_of_contacts__allweek__day__text,0.02276906851160778
8,number_of_contacts__allweek__night__text,-0.08686578433713889
9,number_of_contacts__weekday__allday__text,0.20784178854675303
10,number_of_contacts__weekend__allday__text,-0.034819270616944606
11,number_of_contacts__weekend__night__call,-0.02495975968742491
12,number_of_contacts__weekend__night__text,0.03823768971003688
13,call_duration__allweek__allday__call__mean,0.06809275435190087
14,call_duration__allweek__allday__call__median,-0.17651238232493488
15,call_duration__allweek__allday__call__skewness,0.08126104796227802
16,call_duration__allweek__allday__call__min,-0.0011469628021400383
17,call_duration__allweek__allday__call__max,-0.23273005387193127
18,call_duration__allweek__day__call__mean,0.04663389582634423
19,call_duration__allweek__day__call__std,-0.19555857694576245
20,call_duration__allweek__day__call__kurtosis,0.11366867431845268
21,call_duration__allweek__day__call__max,0.016663029370594145
22,call_duration__allweek__night__call__mean,0.15209822465840117
23,call_duration__allweek__night__call__skewness,-0.33761564219983176
24,call_duration__weekday__allday__call__mean,0.23448010007585443
25,call_duration__weekday__day__call__mean,0.27446453079881034
26,call_duration__weekday__day__call__std,-0.0551697758962811
27,call_duration__weekday__day__call__min,0.0832423915251022
28,call_duration__weekday__night__call__skewness,-0.23584730174168336
29,call_duration__weekday__night__call__kurtosis,-0.15229918961790115
30,call_duration__weekday__night__call__max,0.07457873111828928
31,call_duration__weekend__allday__call__std,0.07256993112672674
32,call_duration__weekend__allday__call__median,-0.16425665048102067
33,call_duration__weekend__allday__call__max,0.09386064922916552
34,call_duration__weekend__day__call__mean,0.03909596652213535
35,call_duration__weekend__day__call__kurtosis,0.05134245895162528
36,call_duration__weekend__day__call__min,-0.08181656701524277
37,call_duration__weekend__night__call__median,0.06133456947399257
38,call_duration__weekend__night__call__skewness,-0.08887205293194964
39,call_duration__weekend__night__call__kurtosis,0.05954740006357778
40,percent_nocturnal__allweek__allday__call,0.10678089850113442
41,percent_nocturnal__allweek__allday__text,-0.22155162229922626
42,percent_nocturnal__allweek__day__call,-0.0008313445015824905
43,percent_nocturnal__allweek__day__text,-0.11536533933305369
44,percent_nocturnal__allweek__night__call,-0.029428477974032703
45,percent_nocturnal__weekday__day__call,-0.00919876936814772
46,percent_nocturnal__weekday__day__text,-0.04290175628087627
47,percent_nocturnal__weekday__night__text,0.2696134702659347
48,percent_nocturnal__weekend__day__text,0.24489236810788712
49,percent_nocturnal__weekend__night__text,-0.13751287877779303
50,percent_initiated_conversations__weekday__allday__callandtext,-0.23624693715926662
51,percent_initiated_conversations__weekend__allday__callandtext,-0.06040944905505845
52,percent_initiated_conversations__weekend__day__callandtext,0.12105896401032827
53,percent_initiated_conversations__weekend__night__callandtext,0.0860774307398073
54,percent_initiated_interactions__weekday__day__call,-0.10693716587120076
55,percent_initiated_interactions__weekday__night__call,-0.06608800995137257
56,response_delay_text__allweek__allday__callandtext__mean,-0.22090899829514532
57,response_delay_text__allweek__allday__callandtext__std,-0.06124124656704536
58,response_delay_text__allweek__allday__callandtext__median,-0.016618068117935713
59,response_delay_text__allweek__allday__callandtext__skewness,-0.038854092619069955
60,response_delay_text__allweek__allday__callandtext__min,-0.05357863803001662
61,response_delay_text__allweek__allday__callandtext__max,-0.14834898800817325
62,response_delay_text__allweek__day__callandtext__median,0.08305897629791048
63,response_delay_text__allweek__day__callandtext__kurtosis,-0.05496097129075314
64,response_delay_text__allweek__night__callandtext__mean,0.06712583587701276
65,response_delay_text__allweek__night__callandtext__skewness,0.13318135866463007
66,response_delay_text__allweek__night__callandtext__kurtosis,-0.09198625065935605
67,response_delay_text__allweek__night__callandtext__min,0.06104133661495467
68,response_delay_text__allweek__night__callandtext__max,0.012086590452387193
69,response_delay_text__weekday__allday__callandtext__mean,0.014097374911413097
70,response_delay_text__weekday__allday__callandtext__skewness,0.2068899723296227
71,response_delay_text__weekday__allday__callandtext__kurtosis,0.09985032005591168
72,response_delay_text__weekday__allday__callandtext__min,0.04128403623515772
73,response_delay_text__weekday__allday__callandtext__max,-0.013943929021835015
74,response_delay_text__weekday__day__callandtext__std,-0.1313143034375097
75,response_delay_text__weekday__day__callandtext__median,0.01630399741202187
76,response_delay_text__weekday__day__callandtext__kurtosis,0.0533218615858352
77,response_delay_text__weekday__day__callandtext__max,-0.27950528061017144
78,response_delay_text__weekday__night__callandtext__mean,-0.06331506669051101
79,response_delay_text__weekday__night__callandtext__median,0.047421341814075854
80,response_delay_text__weekday__night__callandtext__kurtosis,-0.12352037006380771
81,response_delay_text__weekday__night__callandtext__max,-0.05224906128062906
82,response_delay_text__weekend__allday__callandtext__mean,-0.09525215124413924
83,response_delay_text__weekend__allday__callandtext__skewness,0.04314901008502941
84,response_delay_text__weekend__allday__callandtext__kurtosis,-0.06773691986856988
85,response_delay_text__weekend__allday__callandtext__min,0.07296487633748278
86,response_delay_text__weekend__allday__callandtext__max,0.2299212226930901
87,response_delay_text__weekend__day__callandtext__mean,0.048308935194857544
