,feature,importance
0,below_poverty_line,0.0
1,reporting__number_of_records,0.007024222480337811
2,active_days__allweek__day__callandtext,0.006185029482890462
3,active_days__allweek__night__callandtext,0.005246408689521162
4,active_days__weekend__allday__callandtext,0.007647463513345467
5,active_days__weekend__day__callandtext,0.0
6,number_of_contacts__allweek__allday__text,0.014511156494049025
7,number_of_contacts__allweek__day__text,0.0
8,number_of_contacts__allweek__night__text,0.0
9,number_of_contacts__weekday__allday__text,0.0
10,number_of_contacts__weekend__allday__text,0.0
11,number_of_contacts__weekend__night__call,0.0
12,number_of_contacts__weekend__night__text,0.0
13,call_duration__allweek__allday__call__mean,0.0021230984770526954
14,call_duration__allweek__allday__call__median,0.008175105932465147
15,call_duration__allweek__allday__call__skewness,0.0
16,call_duration__allweek__allday__call__min,0.0
17,call_duration__allweek__allday__call__max,0.0
18,call_duration__allweek__day__call__mean,0.0
19,call_duration__allweek__day__call__std,0.00955604894145809
20,call_duration__allweek__day__call__kurtosis,0.006546074080997572
21,call_duration__allweek__day__call__max,0.005726004493265324
22,call_duration__allweek__night__call__mean,0.0
23,call_duration__allweek__night__call__skewness,0.0
24,call_duration__weekday__allday__call__mean,0.007470432655847129
25,call_duration__weekday__day__call__mean,0.013281175405377176
26,call_duration__weekday__day__call__std,0.0
27,call_duration__weekday__day__call__min,0.006071941273508751
28,call_duration__weekday__night__call__skewness,0.0
29,call_duration__weekday__night__call__kurtosis,0.004154556020758515
30,call_duration__weekday__night__call__max,0.0
31,call_duration__weekend__allday__call__std,0.0
32,call_duration__weekend__allday__call__median,0.0
33,call_duration__weekend__allday__call__max,0.005051643411295365
34,call_duration__weekend__day__call__mean,0.0
35,call_duration__weekend__day__call__kurtosis,0.0
36,call_duration__weekend__day__call__min,0.0
37,call_duration__weekend__night__call__median,0.0
38,call_duration__weekend__night__call__skewness,0.0
39,call_duration__weekend__night__call__kurtosis,0.0
40,percent_nocturnal__allweek__allday__call,0.0
41,percent_nocturnal__allweek__allday__text,0.0
42,percent_nocturnal__allweek__day__call,0.00552661220250155
43,percent_nocturnal__allweek__day__text,0.025124873232300126
44,percent_nocturnal__allweek__night__call,0.0029891075857563813
45,percent_nocturnal__weekday__day__call,0.0
46,percent_nocturnal__weekday__day__text,0.0
47,percent_nocturnal__weekday__night__text,0.0
48,percent_nocturnal__weekend__day__text,0.0
49,percent_nocturnal__weekend__night__text,0.0
50,percent_initiated_conversations__weekday__allday__callandtext,0.0
51,percent_initiated_conversations__weekend__allday__callandtext,0.0
52,percent_initiated_conversations__weekend__day__callandtext,0.01419517522449408
53,percent_initiated_conversations__weekend__night__callandtext,0.01225226725128906
54,percent_initiated_interactions__weekday__day__call,0.0
55,percent_initiated_interactions__weekday__night__call,0.0
56,response_delay_text__allweek__allday__callandtext__mean,0.0
57,response_delay_text__allweek__allday__callandtext__std,0.0
58,response_delay_text__allweek__allday__callandtext__median,0.0
59,response_delay_text__allweek__allday__callandtext__skewness,0.006457626070644119
60,response_delay_text__allweek__allday__callandtext__min,0.005028955015087832
61,response_delay_text__allweek__allday__callandtext__max,0.0
62,response_delay_text__allweek__day__callandtext__median,0.0
63,response_delay_text__allweek__day__callandtext__kurtosis,0.0
64,response_delay_text__allweek__night__callandtext__mean,0.0
65,response_delay_text__allweek__night__callandtext__skewness,0.0
66,response_delay_text__allweek__night__callandtext__kurtosis,0.0
67,response_delay_text__allweek__night__callandtext__min,0.0
68,response_delay_text__allweek__night__callandtext__max,0.0
69,response_delay_text__weekday__allday__callandtext__mean,0.0
70,response_delay_text__weekday__allday__callandtext__skewness,0.004729214373113422
71,response_delay_text__weekday__allday__callandtext__kurtosis,0.0
72,response_delay_text__weekday__allday__callandtext__min,0.0
73,response_delay_text__weekday__allday__callandtext__max,0.0
