,feature,importance
0,below_poverty_line,0.023610814642396838
1,reporting__number_of_records,0.011733483955609454
2,active_days__allweek__day__callandtext,0.015266435639449922
3,active_days__allweek__night__callandtext,-0.004947186027925989
4,active_days__weekend__allday__callandtext,0.08290159784530286
5,active_days__weekend__day__callandtext,-0.029547327974300465
6,number_of_contacts__allweek__allday__text,-0.140459168480083
7,number_of_contacts__allweek__day__text,0.06401524760346246
8,number_of_contacts__allweek__night__text,-0.04021541568454732
9,number_of_contacts__weekday__allday__text,-0.029289302327242625
10,number_of_contacts__weekend__allday__text,-0.19550018153451587
11,number_of_contacts__weekend__night__call,0.09336308229933535
12,number_of_contacts__weekend__night__text,-0.12832123278841417
13,call_duration__allweek__allday__call__mean,0.019239553190409653
14,call_duration__allweek__allday__call__median,0.2076478287015569
15,call_duration__allweek__allday__call__skewness,0.027733636822963554
16,call_duration__allweek__allday__call__min,0.12317963610564431
17,call_duration__allweek__allday__call__max,0.06458344624358285
18,call_duration__allweek__day__call__mean,-0.17595411876167444
19,call_duration__allweek__day__call__std,0.06904441946583005
20,call_duration__allweek__day__call__kurtosis,0.30830674016721615
21,call_duration__allweek__day__call__max,-0.24078607792852394
22,call_duration__allweek__night__call__mean,-0.1795954937453769
23,call_duration__allweek__night__call__skewness,-0.19348364811477783
24,call_duration__weekday__allday__call__mean,0.08017745967833033
25,call_duration__weekday__day__call__mean,0.1462097605968496
26,call_duration__weekday__day__call__std,0.2206385559482118
27,call_duration__weekday__day__call__min,-0.18412934336762796
28,call_duration__weekday__night__call__skewness,0.06585600046673863
29,call_duration__weekday__night__call__kurtosis,0.20613590402191204
30,call_duration__weekday__night__call__max,-0.15813258275057238
31,call_duration__weekend__allday__call__std,0.029851982911597123
32,call_duration__weekend__allday__call__median,-0.1097874753351562
33,call_duration__weekend__allday__call__max,0.3756971372191691
34,call_duration__weekend__day__call__mean,0.002377433382158357
35,call_duration__weekend__day__call__kurtosis,-0.07008646970211427
36,call_duration__weekend__day__call__min,0.13563814532277949
37,call_duration__weekend__night__call__median,0.045622012778156786
38,call_duration__weekend__night__call__skewness,0.2100531367653842
